,eid,doi,pii,pubmed_id,title,subtype,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85073025265,10.1016/j.ygcen.2019.113292,S0016648019300577,31580882,Social and physiological drivers of rapid colour change in a tropical toad,ar,Gardner K.,60015881;60012468,University of Guelph;University of Windsor,Guelph;Windsor,Canada;Canada,4,"Gardner, Katrina M.;Mennill, Daniel J.;Newman, Amy E.M.;Doucet, Stéphanie M.",57211213672;6603983826;8522406800;7003298791,60012468;60012468;60015881;60012468,2020-01-01,1 January 2020,General and Comparative Endocrinology,00166480,26113,10956840,Journal,285,,113292,,"© 2019 Dynamic sexual dichromatism occurs when males and females differ in colouration for a limited time. Although this trait has been primarily studied in cephalopods, chameleons, and fishes, recent analyses suggest that dynamic dichromatism is prevalent among anurans and may be mediated through sexual selection and sex recognition. Yellow toads, Incilius luetkenii, exhibit dynamic dichromatism during explosive breeding events at the onset of the rainy season: males change from a cryptic brown to a bright yellow and back again during the brief mating event. We tested the hypothesis that dynamic dichromatism in yellow toads is influenced by conspecific interactions and mediated through sex hormones and stress hormones. We placed male toads into one of four social treatments (with three other males, one male, one female, or no other toads). Immediately before and after each one-hour treatment, we quantified male colour with a reflectance spectrometer and we collected a blood sample to assess plasma concentrations of both testosterone and corticosterone. We found that males held with conspecific animals showed the brightest yellow colour and showed little or no change in their corticosterone levels. Across treatments, toads with duller yellow colour had higher levels of corticosterone. Male colour showed no association with testosterone. Interestingly, males showed substantial temporal variation in colour and corticosterone: toads were duller yellow and exhibited greater levels of corticosterone post-treatment across subsequent days at the onset of the rainy season. Our findings reveal that both conspecific interactions and corticosterone are involved in the dynamic colour change of yellow toads.",Bufo luetkenii | Colour change | Corticosterone | Dynamic sexual dichromatism | Incilius luetkenii | Reflectance spectrometry | Sexual selection | Testosterone | Yellow toad,0,0,NSERC,undefined,Natural Sciences and Engineering Research Council of Canada
1,2-s2.0-85070944725,10.1016/j.chemosphere.2019.124577,S0045653519318016,,Bioaccumulation and biomagnification of PBDEs in a terrestrial food chain at an urban landfill,ar,Currier H.,60018491;60012468;60000673,Simon Fraser University;University of Windsor;Environment Canada,Burnaby;Windsor;Gatineau,Canada;Canada;Canada,5,"Currier, Heidi A.;Fremlin, Kate M.;Elliott, John E.;Drouillard, Ken G.;Williams, Tony D.",55909278400;57210573271;7402852788;6603936268;7404172708,60018491;60018491;60018491-60000673;60012468;60018491,2020-01-01,January 2020,Chemosphere,00456535,24657,18791298,Journal,238,,124577,,"© 2019 Biota samples from the Vancouver municipal landfill located in Delta, BC, Canada, have some of the highest polybrominated diphenyl ether (PBDE) levels reported from North America. We followed a population of European starlings (Sturnus vulgaris) breeding in a remediated area in the landfill to identify exposure routes and bioaccumulation of PBDEs in a simple terrestrial food chain. This population was compared to a reference farm site located 40 km east in Glen Valley. We analyzed samples of European starling eggs and nestling livers as well as invertebrate prey species consumed by starlings for PBDE concentrations. We also collected soil samples from starling foraging areas. All samples from the Delta landfill had higher PBDE congener concentrations compared to the Glen Valley reference site and were dominated by BDE-99 and BDE-47. Stable nitrogen (δ N15) and carbon (δ C13) isotope analysis of starling blood samples and provisioned invertebrates revealed that stable δC13 signatures differed between the sites indicating that the diet of starlings in the Delta landfill included a component of human refuse. Biota-soil accumulation factors (BSAFs) > 1 demonstrated that PBDEs were bioaccumulating in soil invertebrates, particularly earthworms, which were readily accessible to foraging starlings in the landfill. Biomagnification factors (BMFs) calculated from foraged food items and starling egg and liver samples were >1, indicating that a diet of soil invertebrates and refuse contributed substantially to the PBDE exposure of local starlings.",Bioaccumulation | Biomagnification | European starling | PBDEs | Stable isotopes | Terrestrial food-chain,0,0,ECCC,undefined,Environment and Climate Change Canada
2,2-s2.0-85071015321,10.1016/j.scitotenv.2019.133909,S0048969719338598,,Blooming cyanobacteria alter water flea reproduction via exudates of estrogen analogues,ar,Xu R.,60028009;60012468;123017097,Yunnan University;University of Windsor;Xi'an Institute for Innovative Earth Environment Research,Kunming;Windsor;Xi'an,China;Canada;China,9,"Xu, Runbing;Jiang, Yao;MacIsaac, Hugh J.;Chen, Liqiang;Li, Jingjing;Xu, Jun;Wang, Tao;Zi, Yuanyan;Chang, Xuexiu",55651324700;57210570244;7004824705;57210588730;57210590043;57210253419;56117092600;57210579863;7202486400,60028009;60028009-123017097;60028009-60012468;60028009;60028009;60028009;60028009;60028009;60028009-60012468,2019-12-15,15 December 2019,Science of the Total Environment,00489697,25349,18791026,Journal,696,,133909,,"© 2019 Elsevier B.V. Cyanobacteria blooms are increasing globally, with further increases predicted in association with climate change. Recently, some cyanobacteria species have been identified as a source of estrogenic effects in aquatic animals. To explore possible estrogenic effects of Microcystis aeruginosa (an often-dominant cyanobacteria species) on zooplankton, we examined effects of cyanobacteria exudates (MaE, 2 × 104 and 4 × 105 cells/ml) on reproduction in Daphnia magna. We analyzed physiological, biochemical and molecular characteristics of exposed Daphnia via both chronic and acute exposures. MaE at both low and high cell density enhanced egg number (15.4% and 23.3%, respectively) and reproduction (37.7% and 52.4%, respectively) in D. magna similar to 10 μg/L estradiol exposure. In addition, both MaE of low and high cell densities increased population growth rate (15.8% and 19.6%, respectively) and reproductive potential (60% and 83%, respectively) of D. magna. These exudates promoted D. magna reproduction by stimulating 17β-hydroxysteroid-dehydrogenase (17β-HSD) activity and production of ecdysone and juvenile hormone, and by enhancing vitellogenin biosynthesis via up-regulating expression of Vtg1 and Vtg2. However, increased expression (6.6 times higher than controls) of a detoxification gene (CYP360A8) indicated that MaE might also induce toxicity in D. magna. Reproductive interference of zooplankton by blooming cyanobacteria might negatively affect foodwebs because MaE-induced zooplankton population increase would enhance grazing and reduce abundance of edible algae, thereby adding to the list of known disruptive properties of cyanobacterial blooms.",Cyanobacteria | Daphnia magna | Endocrine disorder | Estrogen analogue | Estrogenic effect | Microcystis aeruginosa,0,0,NSFC,2017M623078,China Postdoctoral Science Foundation
3,2-s2.0-85072691595,10.1038/s41598-019-50297-8,,31558791,Responses of neurons in the rat’s inferior colliculus to a sound are affected by another sound in a space-dependent manner,ar,Chot M.,60012468,University of Windsor,Windsor,Canada,3,"Chot, Mathiang G.;Tran, Sarah;Zhang, Huiming",57211117611;57211120136;55685464100,60012468;60012468;60012468,2019-12-01,1 December 2019,Scientific Reports,,21100200805,20452322,Journal,9,1,13938,,"© 2019, The Author(s). The perception of a sound can be influenced by another sound in a space-dependent manner. An understanding of this perceptual phenomenon depends on knowledge about how the spatial relationship between two sounds affects neural responses to the sounds. We used the rat as a model system and equal-probability two-tone sequences as stimuli to evaluate how spatial separation between two asynchronously recurring sounds affected responses to the sounds in midbrain auditory neurons. We found that responses elicited by two tone bursts when they were colocalized at the ear contralateral to the neuron were different from the responses elicited by the same sounds when they were separated with one at the contralateral ear while the other at another location. For neurons with transient sound-driven firing and not responsive to stimulation presented at the ipsilateral ear, the response to a sound with a fixed location at the contralateral ear was enhanced when the second sound was separated. These neurons were likely important for detecting a sound in the presence of a spatially separated competing sound. Our results suggest that mechanisms underlying effects of spatial separation on neural responses to sounds may include adaptation and long-lasting binaural excitatory/inhibitory interaction.",,0,1,NSERC,undefined,University of Windsor
4,2-s2.0-85064014829,10.1038/s41598-019-41955-y,,30948747,Area-dependent change of response in the rat’s inferior colliculus to intracochlear electrical stimulation following neonatal cochlear damage,ar,Hatano M.,60024784;60017592;60012468,Kanazawa University;Carleton University;University of Windsor,Kanazawa;Ottawa;Windsor,Japan;Canada;Canada,3,"Hatano, Miyako;Kelly, Jack B.;Zhang, Huiming",23466879900;7404901774;55685464100,60024784;60017592;60012468,2019-12-01,1 December 2019,Scientific Reports,,21100200805,20452322,Journal,9,1,5643,,"© 2019, The Author(s). To understand brain changes caused by auditory sensory deprivation, we recorded local-field potentials in the inferior colliculus of young adult rats with neonatal cochlear damage produced by systemic injections of amikacin. The responses were elicited by electrical stimulation of the entire cochlea and recorded at various locations along a dorsolateral-ventromedial axis of the inferior colliculus. We found that hair cells were completely destroyed and spiral ganglion neurons were severely damaged in the basal cochleae of amikacin-treated animals. Hair cells as well as spiral ganglion neurons were damaged also in the middle and apical areas of the cochlea, with the damage being greater in the middle than the apical area. Amplitudes of local-field potentials were reduced in the ventromedial inferior colliculus, but enhanced in the dorsolateral inferior colliculus. Latencies of responses were increased over the entire structure. The enhancement of responses in the dorsolateral inferior colliculus was in contrast with the damage of hair cells and spiral ganglion cells in the apical part of the cochlea. This contrast along with the overall increase of latencies suggests that early cochlear damage can alter neural mechanisms within the inferior colliculus and/or the inputs to this midbrain structure.",,0,1,,undefined,Natural Sciences and Engineering Research Council of Canada
5,2-s2.0-85068404163,10.1016/j.scitotenv.2019.06.451,S0048969719330244,31284186,Microbial metatranscriptomic investigations across contaminant gradients of the Detroit River,ar,Falk N.,60012468,University of Windsor,Windsor,Canada,6,"Falk, N.;Reid, T.;Skoyles, A.;Grgicak-Mannion, A.;Drouillard, K.;Weisener, C. G.",56840362300;56825224400;57209652884;14119836000;6603936268;6602760377,60012468;60012468;60012468;60012468;60012468;60012468,2019-11-10,10 November 2019,Science of the Total Environment,00489697,25349,18791026,Journal,690,,,121-131,"© 2019 Elsevier B.V. Microbial community function in freshwater sediments is influenced by the presence and persistence of anthropogenic pollutants, yet simultaneously imposes significant control on their transformation. Thus, microbes provide valuable ecosystem services in terms of biodegradation and bioindicators of compromised habitats. From a remediation perspective it is valuable to leverage the suite of microbial genes at the transcriptional level that are active in either natural versus stressed environments to provide insight into the cycling and fate of contaminants. Metatranscriptomic analysis of total bacterial and archaeal messenger RNA (mRNA) is a useful tool in this facet and was applied to sediments sampled from the Detroit River; a binational Area of Concern (AOC) in the Great Lakes. Previously established sediment surveys and modelling delineated the river into contaminant gradients based on concentrations of polycyclic aromatic hydrocarbons (PAHs), polychlorinated biphenyls (PCBs), and metals. Differential expression analysis through DESeq2 revealed that microbial transcripts associated with nitrate reduction, methanogenesis, and beta-oxidation were significant in legacy polluted sediments and linked with energetic pathways key in the generation of cellular currencies (acetyl-CoA, succinyl-CoA). Gluconeogenesis and polyester synthesis also showed high abundance in contaminated regions, along with increased expression of stress response genes and transposons, despite decreases in community α-diversity. Aromatic cleavage genes were detected, but in low abundance across the contaminant gradient. These results suggest that microbial communities within the Detroit River exploit unique anabolic and catabolic pathways to derive and store energy from legacy organic contaminants while simultaneously recruiting stress-response and gene transfer mechanisms to cope with xenobiotic pressures. By coupling well-resolved chemical datasets with metatranscriptomics, this study adds to the spatial understanding of in-situ microbial activities in pristine and perturbed freshwater sediments.",Differential expression | Legacy contaminants | Metatranscriptomics | Polyhydroxyalkanoate synthesis | Sediments | Transposases,0,0,NSERC,DG-04960,Natural Sciences and Engineering Research Council of Canada
6,2-s2.0-85052296831,10.1080/09524622.2018.1509373,,,Decoding the ‘zeep’ complex: quantitative analysis of interspecific variation in the nocturnal flight calls of nine wood warbler species (Parulidae spp.),ar,Landsborough B.,60031828;60024839;60012468,McMaster University;Algoma University College;University of Windsor,Hamilton;Sault Ste Marie;Windsor,Canada;Canada;Canada,3,"Landsborough, Blaine J.;Foote, Jennifer R.;Mennill, Daniel J.",57203575457;15839644500;6603983826,60012468-60031828;60024839;60012468,2019-11-02,2 November 2019,Bioacoustics,09524622,24714,21650586,Journal,28,6,,555-574,"© 2018, © 2018 Informa UK Limited, trading as Taylor  &  Francis Group. The “zeep” complex consists of nine birds that produce nocturnal flight calls with similar acoustic features. Our inability to distinguish these calls inhibits the acoustic monitoring of these species. We test the hypothesis that flight calls of nine warblers in the “zeep” complex show sufficient acoustic differences to allow differentiation. We investigate divergence in these vocalizations by recording birds held for banding and collecting additional recordings from sound libraries. We used three approaches to compare calls between species: analysis of variance in acoustic properties, discriminant analysis of acoustic properties, and spectrographic cross-correlation. The first approach revealed five species that were different in one or more acoustic properties. The second approach revealed a level of assignment to the correct species (73%) that exceeded levels expected by chance (36%). The third approach revealed calls of seven species to be significantly more similar to conspecific calls than heterospecific calls. Our results suggest the calls of many members of the “zeep” complex exhibit species-specific differences in structure, which may allow differentiation of at least five “zeep” species based on call alone. We advocate for the combined use of these three approaches for the comparison of “zeep” calls in future flight call studies.",Acoustic monitoring | migration monitoring | night flight calls | nocturnal flight calls | nocturnal migration | zeep,0,0,NSERC,undefined,University of Windsor
7,2-s2.0-85072603170,10.1016/j.anbehav.2019.08.021,S0003347219302817,,Subspecies discrimination on the basis of acoustic signals: a playback experiment in a Neotropical songbird,ar,Demko A.,60019176;60012468,Instituto Politécnico Nacional;University of Windsor,Mexico City;Windsor,Mexico;Canada,3,"Demko, Alana D.;Sosa-López, J. Roberto;Mennill, Daniel J.",55965606300;55539546600;6603983826,60012468;60019176;60012468,2019-11-01,November 2019,Animal Behaviour,00033472,24580,,Journal,157,,,77-85,"© 2019 The Association for the Study of Animal Behaviour When animal mating signals diverge between populations, reproductive isolation and speciation may occur. Variation in animals' responses to these signals may reveal whether differences in perception contribute to behavioural differences between populations. We tested whether signal divergence influences receiver responses to playback in the rufous-capped warbler, Basileuterus rufifrons, a Neotropical resident songbird with a contact zone between two divergent subspecies, B. r. delattrii and B. r. rufifrons, in southern Mexico. Studying nearby populations of birds living in allopatry and sympatry, we presented warblers with playback-simulated territorial male rivals of each subspecies. In sympatry, both delattrii and rufifrons responded more strongly to songs of their own subspecies than to songs of the other subspecies, whereas in allopatry, delattrii responded strongly to songs of both subspecies, suggesting possible reproductive character displacement. Our research demonstrates that sympatric delattrii and rufifrons discriminate between each other's songs, suggesting that song is a premating isolating barrier between these divergent subspecies. This study adds to the growing literature on receiver response to vocal signal divergence in closely related sympatric and allopatric animal populations.",Basileuterus rufifrons | character displacement | playback experiment | rufous-capped warbler | song variation,0,0,AOS,251526,American Ornithological Society
8,2-s2.0-85071714682,10.1016/j.watres.2019.114941,S0043135419307158,31398632,Phytoplankton growth characterization in short term MPN culture assays using 18S metabarcoding and qRT-PCR,ar,Petri B.,60012468;106739291,University of Windsor;Trojan Technologies,Windsor;London,Canada;Canada,4,"Petri, Brian;Chaganti, Subba Rao;Chan, Po Shun;Heath, Daniel",11639660500;57210856047;57191229221;7202415305,106739291;60012468;106739291;60012468,2019-11-01,1 November 2019,Water research,,18795,18792448,Journal,164,,,114941,"Copyright © 2019 The Authors. Published by Elsevier Ltd.. All rights reserved. The most probable number dilution-culture assay (MPN) is used to enumerate viable phytoplankton in regulatory tests of ballast water treatment systems. However the United States Coast Guard has not yet accepted MPN, in part due to concerns of biased results due to cells being viable but not growing. MPN does not assess the fate of every cell, and thus the bias can only be evaluated by a companion method that assesses the ability of the various taxa to grow. This growth ability (""growability"") is the complement of the bias, and has been evaluated by microscopic taxonomy of before-culture and after-culture samples. However, microscopic taxonomy is extremely laborious and few data have been produced for phytoplankton growability in MPN assays. To address the need for more and more reliable growability data, a method was developed using next-generation sequencing (NGS) and quantitative real time PCR (qRT-PCR) techniques that target the V9 region of the 18S rRNA gene for the taxonomic identification and growth assessment of eukaryotic phytoplankton, respectively. This growability method was applied to MPN samples from a ballast water management system test that were incubated with two different enrichment media at two different temperatures. DNA was extracted from filters of before-culture and after-culture samples, and assessed for taxonomy by NGS and for PCR template DNA concentration by qRT-PCR. Growth ratios based on changes in 18S template concentration over the incubation period were calculated for each taxon, and dead-cell DNA persistence through a 14 day incubation was verified to be <1% and did not influence the growth calculations. In total, 95 of 97 eukaryotic phytoplankton in the before-culture sample demonstrated growth, with definitive growth ratios ranging from 4.0 × 101-2.6 × 105. An additional 13 taxa demonstrated growth from non-detect in before-culture samples. Taxa-based growability values were 87-88% in individual incubation conditions with no statistical differences among conditions, and 98% for all conditions combined. When growability was weighted by the before-culture abundance of each taxa, relevant to regulations based on all organisms regardless of taxa, community-based growability was >99% in each condition and in all conditions combined because the most abundant taxa all exhibited growth. This study verifies that conventional phytoplankton MPN assays produce accurate results with low bias from undetected viable cells, regardless of enrichments and incubation temperatures. This work can provide regulatory confidence for broader acceptance of MPN assays without limitations.",Ballast water | Invasive species | Most probable number (MPN) | Next-generation sequencing | Quantitative PCR | Viability methods,0,1,,undefined,
9,2-s2.0-85068504069,10.1016/j.aquaculture.2019.734255,S0044848617325619,,Domestic-wild hybridization to improve aquaculture performance in Chinook salmon,ar,Semeniuk C.,60014171;60012468;60010884;60010833;113408085,University of Waterloo;University of Windsor;Western University;Fisheries and Oceans Canada;Yellow Island Aquaculture Ltd.,Waterloo;Windsor;London;Ottawa,Canada;Canada;Canada;Canada;Canada,22,"Semeniuk, Christina A.D.;Capelle, Pauline M.;Dender, Mitchel G.E.;Devlin, Robert;Dixon, Brian;Drown, Jane;Heath, John;Hepburn, Russell;Higgs, Dennis M.;Janisse, Kevyn;Lehnert, Sarah J.;Love, Oliver P.;Mayrand, Jessica;Mickle, Megan;Pitcher, Trevor E.;Neff, Bryan;Semple, Shawna L.;Smith, Jennifer L.;Toews, Shelby;Wellband, Kyle;Venney, Clare J.;Heath, Daniel",36948807000;57189973391;57193747851;7102087139;7201442146;57209714483;7201645856;12647472100;7102307944;57192920681;55165301500;6603082825;57208544616;57203634740;7005614209;7005508007;56919308800;57209715859;57208396992;55880885100;57191192557;7202415305,60012468;60012468;60012468;60010833;60014171;113408085;113408085;60012468;60012468;60012468;60012468;60012468;60012468;60012468;60012468;60010884;60014171;60012468;60012468;60012468;60012468;60012468,2019-09-15,15 September 2019,Aquaculture,00448486,29419,,Journal,511,,734255,,"© 2019 Elsevier B.V. Salmon farming is one of Canada's fastest growing industries and contributes to Canada's economy as well as creating jobs in rural areas; however, the industry is challenged by the need to balance production economics against environmental impacts. While Atlantic salmon (Salmo salar) are the most commonly farmed species on the west coast of Canada, Chinook salmon (Oncorhynchus tshawytscha) are a valuable alternative, as they fill a niche market and generate reduced environmental concerns because they are a native species. However, Chinook salmon have not been systematically domesticated, and their performance remains highly variable. Here we report on the results of a research program designed to develop a performance-enhanced hybrid Chinook salmon stock. Growth and survival were estimated for seven domestic-wild hybrid Chinook salmon crosses at various freshwater stages and during 15 months of saltwater rearing at a British Columbia Chinook salmon farm and compared with domestic-domestic crosses (control). The project included 8640 individually (PIT) tagged offspring from the domestic stock and seven domestic-wild hybrid stocks originating from the Lower Fraser Valley, Lower Mainland Vancouver, and Vancouver Island, British Columbia, Canada. Within each stock, milt from 10 sires was used to fertilize eggs pooled from 15 highly inbred domestic females to produce 80 half-sib families. Our breeding design allows the partitioning of stock and sire effects, and minimises maternal genetic and maternal environment effects. Replicates of all families were reared under common environmental conditions in both fresh- and salt water and monitored for body size and survival. There was significant variation in survival, body size, and saltwater biomass among the Chinook salmon hybrid stocks. The performance of some of the hybrid crosses exceeded that of the fully domesticated stock, although the pattern of performance varied with rearing stage. Overall, two hybrid stocks consistently outperformed the domestic stock in terms of survival, growth, and biomass estimates. We systematically assess production performance across a wide range of wild-domestic hybrid crosses in a Pacific salmon species, and our results highlight opportunities to improve the production performance of Chinook salmon culture.",Aquaculture | Biomass | Chinook salmon | Growth | Heterozygosity | Hybridization | Outcross | Survival,2,0,NSERC,undefined,Natural Sciences and Engineering Research Council of Canada
